age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,plays,previous,poutcome,cons.price.idx,cons.conf.idx,nr.employed,y
41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575,1,999,0,nonexistent,93.994,-36.4,5191,yes
49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042,1,999,0,nonexistent,93.994,-36.4,5191,yes
49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,999,0,nonexistent,93.994,-36.4,5191,yes
41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,579,1,999,0,nonexistent,93.994,-36.4,5191,yes
45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,461,1,999,0,nonexistent,93.994,-36.4,5191,yes
42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,2,999,0,nonexistent,93.994,-36.4,5191,yes
39,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935,3,999,0,nonexistent,93.994,-36.4,5191,yes
28,unknown,single,unknown,unknown,yes,yes,telephone,may,tue,1201,1,999,0,nonexistent,93.994,-36.4,5191,yes
44,services,married,high.school,no,yes,no,telephone,may,tue,1030,1,999,0,nonexistent,93.994,-36.4,5191,yes
42,technician,married,professional.course,no,no,no,telephone,may,tue,1623,1,999,0,nonexistent,93.994,-36.4,5191,yes
42,management,married,university.degree,no,no,no,telephone,may,tue,1677,1,999,0,nonexistent,93.994,-36.4,5191,yes
39,services,married,high.school,unknown,yes,no,telephone,may,tue,918,1,999,0,nonexistent,93.994,-36.4,5191,yes
42,blue-collar,married,high.school,no,no,yes,telephone,may,tue,1297,3,999,0,nonexistent,93.994,-36.4,5191,yes
45,housemaid,married,professional.course,unknown,yes,no,telephone,may,tue,1597,2,999,0,nonexistent,93.994,-36.4,5191,yes
31,admin.,single,university.degree,no,no,no,telephone,may,wed,992,1,999,0,nonexistent,93.994,-36.4,5191,yes
28,student,single,basic.9y,unknown,yes,yes,telephone,may,wed,732,2,999,0,nonexistent,93.994,-36.4,5191,yes
41,entrepreneur,married,university.degree,no,yes,no,telephone,may,wed,1138,1,999,0,nonexistent,93.994,-36.4,5191,yes
37,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,wed,591,1,999,0,nonexistent,93.994,-36.4,5191,yes
44,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,786,1,999,0,nonexistent,93.994,-36.4,5191,yes
44,entrepreneur,married,basic.4y,unknown,no,no,telephone,may,wed,1574,2,999,0,nonexistent,93.994,-36.4,5191,yes
54,admin.,divorced,university.degree,no,no,no,telephone,may,wed,1689,4,999,0,nonexistent,93.994,-36.4,5191,yes
42,services,married,professional.course,no,yes,no,telephone,may,thu,813,1,999,0,nonexistent,93.994,-36.4,5191,yes
46,blue-collar,single,basic.9y,no,yes,no,telephone,may,thu,541,3,999,0,nonexistent,93.994,-36.4,5191,yes
32,blue-collar,married,professional.course,no,no,no,telephone,may,thu,1119,1,999,0,nonexistent,93.994,-36.4,5191,yes
43,technician,single,university.degree,no,yes,no,telephone,may,thu,1120,2,999,0,nonexistent,93.994,-36.4,5191,yes
54,admin.,married,university.degree,no,no,no,telephone,may,thu,513,1,999,0,nonexistent,93.994,-36.4,5191,yes
50,technician,married,high.school,no,yes,no,telephone,may,thu,756,1,999,0,nonexistent,93.994,-36.4,5191,yes
31,services,married,basic.6y,no,no,no,telephone,may,thu,2087,2,999,0,nonexistent,93.994,-36.4,5191,yes
51,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,thu,1178,2,999,0,nonexistent,93.994,-36.4,5191,yes
31,entrepreneur,divorced,high.school,no,yes,no,telephone,may,thu,1120,2,999,0,nonexistent,93.994,-36.4,5191,yes
41,services,divorced,high.school,no,yes,no,telephone,may,thu,985,2,999,0,nonexistent,93.994,-36.4,5191,yes
32,unknown,unknown,university.degree,no,no,no,telephone,may,fri,617,4,999,0,nonexistent,93.994,-36.4,5191,yes
33,services,married,high.school,unknown,no,no,telephone,may,fri,483,3,999,0,nonexistent,93.994,-36.4,5191,yes
38,management,married,basic.9y,unknown,no,no,telephone,may,fri,772,1,999,0,nonexistent,93.994,-36.4,5191,yes
60,housemaid,married,high.school,unknown,no,no,telephone,may,fri,929,3,999,0,nonexistent,93.994,-36.4,5191,yes
35,blue-collar,married,professional.course,no,yes,yes,telephone,may,fri,710,1,999,0,nonexistent,93.994,-36.4,5191,yes
33,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,fri,1132,2,999,0,nonexistent,93.994,-36.4,5191,yes
51,blue-collar,married,basic.9y,no,no,yes,telephone,may,fri,653,1,999,0,nonexistent,93.994,-36.4,5191,yes
24,services,single,high.school,no,yes,no,telephone,may,fri,654,1,999,0,nonexistent,93.994,-36.4,5191,yes
32,admin.,married,university.degree,no,no,yes,telephone,may,fri,1692,2,999,0,nonexistent,93.994,-36.4,5191,yes
43,admin.,married,university.degree,unknown,yes,no,telephone,may,fri,2016,2,999,0,nonexistent,93.994,-36.4,5191,yes
44,blue-collar,single,basic.6y,unknown,yes,no,telephone,may,fri,665,2,999,0,nonexistent,93.994,-36.4,5191,yes
59,management,married,university.degree,no,no,no,telephone,may,mon,460,5,999,0,nonexistent,93.994,-36.4,5191,yes
24,services,single,high.school,no,no,no,telephone,may,mon,757,2,999,0,nonexistent,93.994,-36.4,5191,yes
39,admin.,married,university.degree,no,no,no,telephone,may,mon,744,6,999,0,nonexistent,93.994,-36.4,5191,yes
41,admin.,single,unknown,no,yes,yes,telephone,may,mon,1111,3,999,0,nonexistent,93.994,-36.4,5191,yes
39,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,504,4,999,0,nonexistent,93.994,-36.4,5191,yes
32,admin.,single,university.degree,unknown,no,no,telephone,may,tue,1346,1,999,0,nonexistent,93.994,-36.4,5191,yes
33,management,married,basic.4y,no,yes,yes,telephone,may,tue,568,4,999,0,nonexistent,93.994,-36.4,5191,yes
38,management,married,basic.9y,no,yes,no,telephone,may,tue,1000,1,999,0,nonexistent,93.994,-36.4,5191,yes
35,admin.,single,high.school,no,yes,yes,telephone,may,tue,618,1,999,0,nonexistent,93.994,-36.4,5191,yes
38,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,2231,1,999,0,nonexistent,93.994,-36.4,5191,yes
38,blue-collar,single,university.degree,unknown,yes,no,telephone,may,tue,395,2,999,0,nonexistent,93.994,-36.4,5191,yes
38,technician,single,university.degree,no,no,no,telephone,may,tue,1015,1,999,0,nonexistent,93.994,-36.4,5191,yes
30,technician,married,university.degree,no,yes,no,telephone,may,tue,683,2,999,0,nonexistent,93.994,-36.4,5191,yes
51,admin.,single,basic.6y,no,no,no,telephone,may,tue,470,1,999,0,nonexistent,93.994,-36.4,5191,yes
31,services,married,basic.6y,unknown,no,no,telephone,may,tue,1001,4,999,0,nonexistent,93.994,-36.4,5191,yes
45,technician,married,university.degree,no,yes,yes,telephone,may,tue,845,1,999,0,nonexistent,93.994,-36.4,5191,yes
36,admin.,married,high.school,no,no,no,telephone,may,tue,753,6,999,0,nonexistent,93.994,-36.4,5191,yes
31,services,married,basic.9y,no,no,no,telephone,may,tue,945,2,999,0,nonexistent,93.994,-36.4,5191,yes
45,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,1721,2,999,0,nonexistent,93.994,-36.4,5191,yes
51,admin.,married,basic.4y,unknown,yes,no,telephone,may,wed,942,3,999,0,nonexistent,93.994,-36.4,5191,yes
38,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,wed,476,1,999,0,nonexistent,93.994,-36.4,5191,yes
41,technician,married,high.school,no,yes,no,telephone,may,wed,832,1,999,0,nonexistent,93.994,-36.4,5191,yes
27,admin.,single,high.school,no,yes,no,telephone,may,wed,1328,1,999,0,nonexistent,93.994,-36.4,5191,yes
37,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,1125,2,999,0,nonexistent,93.994,-36.4,5191,yes
33,unemployed,divorced,basic.9y,no,no,no,telephone,may,wed,1321,2,999,0,nonexistent,93.994,-36.4,5191,yes
33,blue-collar,married,high.school,no,no,no,telephone,may,wed,858,1,999,0,nonexistent,93.994,-36.4,5191,yes
35,student,married,university.degree,no,yes,no,telephone,may,wed,629,2,999,0,nonexistent,93.994,-36.4,5191,yes
40,blue-collar,married,high.school,no,no,no,telephone,may,wed,1028,2,999,0,nonexistent,93.994,-36.4,5191,yes
40,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,927,1,999,0,nonexistent,93.994,-36.4,5191,yes
36,technician,married,professional.course,no,no,no,telephone,may,wed,1423,3,999,0,nonexistent,93.994,-36.4,5191,yes
35,housemaid,married,basic.4y,no,no,no,telephone,may,thu,646,3,999,0,nonexistent,93.994,-36.4,5191,yes
32,services,married,basic.9y,no,no,no,telephone,may,thu,746,1,999,0,nonexistent,93.994,-36.4,5191,yes
42,services,divorced,basic.6y,no,yes,no,telephone,may,thu,1074,1,999,0,nonexistent,93.994,-36.4,5191,yes
45,admin.,married,high.school,no,yes,no,telephone,may,thu,695,1,999,0,nonexistent,93.994,-36.4,5191,yes
38,services,single,high.school,unknown,no,yes,telephone,may,thu,1257,3,999,0,nonexistent,93.994,-36.4,5191,yes
39,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,651,23,999,0,nonexistent,93.994,-36.4,5191,yes
45,self-employed,married,basic.6y,unknown,no,no,telephone,may,thu,734,1,999,0,nonexistent,93.994,-36.4,5191,yes
49,blue-collar,divorced,basic.4y,unknown,no,no,telephone,may,thu,920,2,999,0,nonexistent,93.994,-36.4,5191,yes
41,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,500,1,999,0,nonexistent,93.994,-36.4,5191,yes
30,admin.,married,university.degree,no,yes,no,telephone,may,thu,911,2,999,0,nonexistent,93.994,-36.4,5191,yes
53,technician,married,professional.course,unknown,yes,no,telephone,may,thu,920,2,999,0,nonexistent,93.994,-36.4,5191,yes
35,technician,married,unknown,unknown,no,no,telephone,may,thu,1224,2,999,0,nonexistent,93.994,-36.4,5191,yes
51,management,married,university.degree,unknown,no,yes,telephone,may,thu,1156,2,999,0,nonexistent,93.994,-36.4,5191,yes
33,blue-collar,divorced,basic.9y,unknown,no,no,telephone,may,thu,1867,6,999,0,nonexistent,93.994,-36.4,5191,yes
44,services,married,high.school,unknown,yes,no,telephone,may,thu,1263,2,999,0,nonexistent,93.994,-36.4,5191,yes
50,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,697,3,999,0,nonexistent,93.994,-36.4,5191,yes
30,admin.,single,high.school,no,no,yes,telephone,may,thu,892,4,999,0,nonexistent,93.994,-36.4,5191,yes
45,entrepreneur,married,university.degree,no,yes,yes,telephone,may,fri,515,1,999,0,nonexistent,93.994,-36.4,5191,yes
35,admin.,single,high.school,no,no,yes,telephone,may,fri,813,1,999,0,nonexistent,93.994,-36.4,5191,yes
29,blue-collar,single,high.school,no,yes,no,telephone,may,fri,803,1,999,0,nonexistent,93.994,-36.4,5191,yes
44,management,single,university.degree,unknown,yes,no,telephone,may,fri,844,1,999,0,nonexistent,93.994,-36.4,5191,yes
31,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,may,fri,676,1,999,0,nonexistent,93.994,-36.4,5191,yes
56,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,fri,1252,1,999,0,nonexistent,93.994,-36.4,5191,yes
45,technician,married,university.degree,no,yes,no,telephone,may,fri,1143,3,999,0,nonexistent,93.994,-36.4,5191,yes
26,blue-collar,single,basic.9y,no,no,no,telephone,may,fri,688,1,999,0,nonexistent,93.994,-36.4,5191,yes
40,entrepreneur,married,university.degree,no,no,no,telephone,may,fri,803,1,999,0,nonexistent,93.994,-36.4,5191,yes
49,admin.,divorced,high.school,no,yes,no,telephone,may,fri,787,1,999,0,nonexistent,93.994,-36.4,5191,yes
26,admin.,single,high.school,no,no,no,telephone,may,fri,619,2,999,0,nonexistent,93.994,-36.4,5191,yes
37,blue-collar,single,basic.9y,unknown,no,no,telephone,may,fri,1230,3,999,0,nonexistent,93.994,-36.4,5191,yes
37,admin.,single,high.school,no,yes,no,telephone,may,fri,912,1,999,0,nonexistent,93.994,-36.4,5191,yes
38,blue-collar,single,university.degree,unknown,no,no,telephone,may,fri,894,1,999,0,nonexistent,93.994,-36.4,5191,yes
51,services,married,basic.6y,no,no,no,telephone,may,fri,1340,1,999,0,nonexistent,93.994,-36.4,5191,yes
46,admin.,divorced,university.degree,no,no,no,telephone,may,fri,897,1,999,0,nonexistent,93.994,-36.4,5191,yes
35,student,single,high.school,no,no,yes,telephone,may,fri,2680,1,999,0,nonexistent,93.994,-36.4,5191,yes
57,services,divorced,high.school,no,yes,yes,telephone,may,fri,1193,5,999,0,nonexistent,93.994,-36.4,5191,yes
28,blue-collar,married,basic.9y,no,no,yes,telephone,may,fri,1064,4,999,0,nonexistent,93.994,-36.4,5191,yes
47,management,married,basic.4y,unknown,no,no,telephone,may,mon,882,1,999,0,nonexistent,93.994,-36.4,5191,yes
57,technician,married,professional.course,no,yes,no,telephone,may,mon,483,2,999,0,nonexistent,93.994,-36.4,5191,yes
45,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,943,2,999,0,nonexistent,93.994,-36.4,5191,yes
48,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,607,1,999,0,nonexistent,93.994,-36.4,5191,yes
28,services,married,high.school,no,no,no,telephone,may,mon,1022,4,999,0,nonexistent,93.994,-36.4,5191,yes
38,services,married,high.school,no,yes,no,telephone,may,mon,552,3,999,0,nonexistent,93.994,-36.4,5191,yes
34,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1622,2,999,0,nonexistent,93.994,-36.4,5191,yes
52,services,married,high.school,unknown,yes,no,telephone,may,mon,967,6,999,0,nonexistent,93.994,-36.4,5191,yes
52,services,divorced,high.school,no,no,no,telephone,may,mon,579,5,999,0,nonexistent,93.994,-36.4,5191,yes
33,technician,divorced,professional.course,no,no,no,telephone,may,mon,1218,3,999,0,nonexistent,93.994,-36.4,5191,yes
32,services,single,basic.6y,no,no,yes,telephone,may,tue,1205,1,999,0,nonexistent,93.994,-36.4,5191,yes
31,blue-collar,single,high.school,no,no,no,telephone,may,tue,1882,2,999,0,nonexistent,93.994,-36.4,5191,yes
47,blue-collar,married,unknown,unknown,no,no,telephone,may,tue,1334,1,999,0,nonexistent,93.994,-36.4,5191,yes
53,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,182,2,999,0,nonexistent,93.994,-36.4,5191,yes
35,services,single,basic.4y,no,yes,no,telephone,may,tue,1777,1,999,0,nonexistent,93.994,-36.4,5191,yes
58,retired,married,basic.4y,unknown,no,no,telephone,may,tue,1045,1,999,0,nonexistent,93.994,-36.4,5191,yes
39,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,650,3,999,0,nonexistent,93.994,-36.4,5191,yes
27,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,may,tue,1063,2,999,0,nonexistent,93.994,-36.4,5191,yes
42,admin.,married,high.school,no,no,no,telephone,may,tue,1392,2,999,0,nonexistent,93.994,-36.4,5191,yes
55,technician,married,high.school,no,yes,no,telephone,may,tue,719,1,999,0,nonexistent,93.994,-36.4,5191,yes
49,housemaid,married,basic.4y,unknown,no,yes,telephone,may,wed,801,1,999,0,nonexistent,93.994,-36.4,5191,yes
42,admin.,single,university.degree,no,yes,yes,telephone,may,wed,938,1,999,0,nonexistent,93.994,-36.4,5191,yes
45,admin.,single,professional.course,no,yes,no,telephone,may,wed,565,1,999,0,nonexistent,93.994,-36.4,5191,yes
59,retired,married,professional.course,unknown,no,no,telephone,may,wed,905,1,999,0,nonexistent,93.994,-36.4,5191,yes
54,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,783,2,999,0,nonexistent,93.994,-36.4,5191,yes
55,technician,married,basic.9y,unknown,yes,no,telephone,may,wed,958,2,999,0,nonexistent,93.994,-36.4,5191,yes
30,admin.,single,university.degree,no,no,no,telephone,may,wed,819,1,999,0,nonexistent,93.994,-36.4,5191,yes
35,technician,single,university.degree,no,yes,no,telephone,may,wed,412,1,999,0,nonexistent,93.994,-36.4,5191,yes
31,blue-collar,married,basic.6y,no,no,yes,telephone,may,wed,795,1,999,0,nonexistent,93.994,-36.4,5191,yes
36,admin.,single,professional.course,no,yes,yes,telephone,may,wed,828,4,999,0,nonexistent,93.994,-36.4,5191,yes
46,housemaid,married,basic.4y,no,no,no,telephone,may,wed,506,2,999,0,nonexistent,93.994,-36.4,5191,yes
32,technician,single,university.degree,unknown,no,no,telephone,may,wed,857,1,999,0,nonexistent,93.994,-36.4,5191,yes
25,blue-collar,single,basic.4y,no,yes,no,telephone,may,wed,1681,1,999,0,nonexistent,93.994,-36.4,5191,yes
45,admin.,divorced,university.degree,no,no,no,telephone,may,wed,681,3,999,0,nonexistent,93.994,-36.4,5191,yes
56,entrepreneur,married,university.degree,no,no,yes,telephone,may,wed,1697,2,999,0,nonexistent,93.994,-36.4,5191,yes
30,admin.,single,high.school,no,no,no,telephone,may,wed,860,2,999,0,nonexistent,93.994,-36.4,5191,yes
44,blue-collar,divorced,unknown,no,yes,yes,telephone,may,wed,799,1,999,0,nonexistent,93.994,-36.4,5191,yes
32,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,923,3,999,0,nonexistent,93.994,-36.4,5191,yes
37,services,married,high.school,no,yes,yes,telephone,may,wed,521,3,999,0,nonexistent,93.994,-36.4,5191,yes
58,admin.,divorced,university.degree,no,yes,no,telephone,may,fri,628,2,999,0,nonexistent,93.994,-36.4,5191,yes
35,services,married,high.school,no,no,no,telephone,may,fri,1349,5,999,0,nonexistent,93.994,-36.4,5191,yes
49,technician,married,professional.course,no,no,no,telephone,may,fri,736,2,999,0,nonexistent,93.994,-36.4,5191,yes
38,technician,married,basic.6y,unknown,no,no,telephone,may,fri,785,1,999,0,nonexistent,93.994,-36.4,5191,yes
22,blue-collar,single,basic.6y,unknown,no,yes,telephone,may,fri,1073,1,999,0,nonexistent,93.994,-36.4,5191,yes
47,blue-collar,married,basic.6y,no,yes,no,telephone,may,fri,600,1,999,0,nonexistent,93.994,-36.4,5191,yes
55,retired,married,high.school,no,no,no,telephone,may,fri,924,1,999,0,nonexistent,93.994,-36.4,5191,yes
50,technician,married,high.school,no,yes,no,telephone,may,fri,893,3,999,0,nonexistent,93.994,-36.4,5191,yes
32,admin.,single,university.degree,no,no,no,telephone,may,fri,588,3,999,0,nonexistent,93.994,-36.4,5191,yes
33,services,single,high.school,no,no,no,telephone,may,fri,777,2,999,0,nonexistent,93.994,-36.4,5191,yes
60,retired,married,high.school,unknown,yes,no,telephone,may,fri,597,6,999,0,nonexistent,93.994,-36.4,5191,yes
46,blue-collar,married,basic.4y,no,yes,no,telephone,may,fri,1392,2,999,0,nonexistent,93.994,-36.4,5191,yes
39,technician,single,professional.course,no,no,no,telephone,may,fri,1059,5,999,0,nonexistent,93.994,-36.4,5191,yes
39,services,married,high.school,no,yes,no,telephone,may,fri,430,6,999,0,nonexistent,93.994,-36.4,5191,yes
33,blue-collar,single,basic.9y,unknown,no,yes,telephone,may,mon,788,11,999,0,nonexistent,93.994,-36.4,5191,yes
56,blue-collar,married,professional.course,no,yes,no,telephone,may,mon,621,4,999,0,nonexistent,93.994,-36.4,5191,yes
58,admin.,single,university.degree,no,no,no,telephone,may,mon,543,2,999,0,nonexistent,93.994,-36.4,5191,yes
44,management,single,university.degree,unknown,yes,no,telephone,may,mon,745,4,999,0,nonexistent,93.994,-36.4,5191,yes
29,student,single,high.school,no,no,yes,telephone,may,mon,630,1,999,0,nonexistent,93.994,-36.4,5191,yes
41,services,married,high.school,unknown,yes,no,telephone,may,mon,679,2,999,0,nonexistent,93.994,-36.4,5191,yes
58,admin.,single,university.degree,no,no,no,telephone,may,mon,1234,3,999,0,nonexistent,93.994,-36.4,5191,yes
43,entrepreneur,married,high.school,no,yes,yes,telephone,may,mon,642,2,999,0,nonexistent,93.994,-36.4,5191,yes
41,unemployed,married,basic.9y,unknown,yes,yes,telephone,may,mon,895,4,999,0,nonexistent,93.994,-36.4,5191,yes
39,management,married,university.degree,no,no,no,telephone,may,mon,431,2,999,0,nonexistent,93.994,-36.4,5191,yes
25,blue-collar,married,high.school,unknown,yes,yes,telephone,may,mon,741,6,999,0,nonexistent,93.994,-36.4,5191,yes
38,self-employed,single,university.degree,no,no,no,telephone,may,mon,414,2,999,0,nonexistent,93.994,-36.4,5191,yes
52,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,748,3,999,0,nonexistent,93.994,-36.4,5191,yes
28,entrepreneur,married,basic.9y,no,no,no,telephone,may,mon,896,3,999,0,nonexistent,93.994,-36.4,5191,yes
24,admin.,married,basic.9y,no,yes,no,telephone,may,mon,764,2,999,0,nonexistent,93.994,-36.4,5191,yes
45,services,divorced,unknown,no,yes,no,telephone,may,tue,1063,5,999,0,nonexistent,93.994,-36.4,5191,yes
42,services,married,professional.course,no,yes,no,telephone,may,tue,1205,1,999,0,nonexistent,93.994,-36.4,5191,yes
29,technician,single,university.degree,no,yes,no,telephone,may,tue,1051,1,999,0,nonexistent,93.994,-36.4,5191,yes
34,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,740,1,999,0,nonexistent,93.994,-36.4,5191,yes
47,admin.,married,high.school,no,no,no,telephone,may,tue,731,3,999,0,nonexistent,93.994,-36.4,5191,yes
31,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,935,1,999,0,nonexistent,93.994,-36.4,5191,yes
39,management,single,university.degree,no,yes,no,telephone,may,tue,751,1,999,0,nonexistent,93.994,-36.4,5191,yes
52,management,married,professional.course,no,yes,no,telephone,may,tue,709,1,999,0,nonexistent,93.994,-36.4,5191,yes
30,self-employed,married,basic.9y,no,no,no,telephone,may,tue,3094,2,999,0,nonexistent,93.994,-36.4,5191,yes
45,blue-collar,married,basic.6y,unknown,no,no,telephone,may,tue,858,6,999,0,nonexistent,93.994,-36.4,5191,yes
52,admin.,divorced,university.degree,no,yes,no,telephone,may,wed,938,2,999,0,nonexistent,93.994,-36.4,5191,yes
34,blue-collar,single,basic.9y,unknown,no,no,telephone,may,wed,576,3,999,0,nonexistent,93.994,-36.4,5191,yes
57,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,wed,543,2,999,0,nonexistent,93.994,-36.4,5191,yes
34,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,1479,4,999,0,nonexistent,93.994,-36.4,5191,yes
40,admin.,married,university.degree,no,yes,no,telephone,may,wed,615,2,999,0,nonexistent,93.994,-36.4,5191,yes
50,services,married,basic.4y,unknown,yes,no,telephone,may,wed,507,1,999,0,nonexistent,93.994,-36.4,5191,yes
33,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,1183,1,999,0,nonexistent,93.994,-36.4,5191,yes
25,unemployed,single,high.school,unknown,no,no,telephone,may,wed,694,2,999,0,nonexistent,93.994,-36.4,5191,yes
54,technician,married,professional.course,no,no,no,telephone,may,wed,796,1,999,0,nonexistent,93.994,-36.4,5191,yes
33,admin.,married,university.degree,no,no,no,telephone,may,wed,664,2,999,0,nonexistent,93.994,-36.4,5191,yes
41,management,married,basic.6y,no,yes,no,telephone,may,wed,648,1,999,0,nonexistent,93.994,-36.4,5191,yes
53,technician,married,professional.course,unknown,no,no,telephone,may,wed,864,2,999,0,nonexistent,93.994,-36.4,5191,yes
54,retired,married,basic.4y,unknown,no,no,telephone,may,wed,1730,1,999,0,nonexistent,93.994,-36.4,5191,yes
30,management,single,university.degree,no,no,yes,telephone,may,wed,691,5,999,0,nonexistent,93.994,-36.4,5191,yes
59,retired,married,professional.course,no,no,no,telephone,may,wed,560,9,999,0,nonexistent,93.994,-36.4,5191,yes
39,admin.,married,university.degree,no,yes,no,telephone,may,thu,543,1,999,0,nonexistent,93.994,-36.4,5191,yes
40,technician,married,basic.9y,unknown,yes,no,telephone,may,thu,539,1,999,0,nonexistent,93.994,-36.4,5191,yes
28,entrepreneur,married,basic.9y,unknown,yes,no,telephone,may,thu,733,1,999,0,nonexistent,93.994,-36.4,5191,yes
38,technician,divorced,professional.course,no,yes,no,telephone,may,thu,1093,1,999,0,nonexistent,93.994,-36.4,5191,yes
34,services,married,high.school,no,no,no,telephone,may,thu,791,2,999,0,nonexistent,93.994,-36.4,5191,yes
37,unemployed,married,professional.course,unknown,no,no,telephone,may,thu,746,1,999,0,nonexistent,93.994,-36.4,5191,yes
